N;Releve;Code;Sequence;Turboveg No;Group;Optclass;Releve;Moss;Canopy;Woody;Fern;Liana;Sapling;Tree;Shrub;Ericaceae;Alien;Sasa;Richness;Shannon;Pielou;Plant;Dom;Col1;Symbols1;Razm;Comm
13;99;USAbi;13;6;1;2;6;20;85;8.2;11.9;0.1;4.2;18.18;4.2;0;0;0;22;2.069;0.669;Natural;Native.forest;1;0;1;1
14;129;Kun34;14;24;1;2;24;1;80;33;0;0;1.3;16.67;32.1;0.3;0;1;12;1.499;0.603;Natural;Native.forest;1;0;1;1
15;121;S11;15;23;1;2;23;8;70;8.2;1.5;0;1;8.33;7.3;3;0;0;24;2.379;0.748;Natural;Native.forest;1;0;1;1
16;123;Amurs2;16;17;2;2;17;1;80;16.5;81.1;5;10.5;8.7;1.9;0;0;0;23;1.287;0.41;Natural;Native.forest;1;0;1;1
17;127;Verkh2;17;10;2;2;10;1;50;5.6;40;0;0.6;13.33;5;0;0;0;15;1.264;0.467;Natural;Native.forest;1;0;1;1
18;119;Zhuko3;18;21;2;2;21;22;70;51;1.5;30;20.8;10.53;11.5;8.3;0;3;19;2.207;0.75;Natural;Native.forest;1;0;1;1
19;128;DDplo2;19;128;2;2;128;6;90;6.3;0;0;5.2;35.71;1.1;2.1;0;0;14;1.317;0.499;Natural;Native.forest;1;0;1;1
20;110;TunDob;20;129;2;2;129;65;70;3.8;5;0;3.2;30.77;0.6;0.5;0;0;13;1.467;0.572;Natural;Native.forest;1;0;1;1
21;133;Kun25;21;99;2;2;99;9;70;5;0;0;5;18.75;0;0;0;0;16;0.918;0.331;Natural;Native.forest;1;0;1;1
22;130;Mend3;22;56;2;4;56;47;70;10.7;70;0;8.9;13.33;2;1.8;0;0;15;1.055;0.389;Natural;Native.forest;1;0;1;1
23;95;4;23;50;2;4;50;5;80;26;20;0;21.6;12.5;5.7;5.5;0;0;24;2.248;0.707;Natural;Native.forest;1;0;1;1
24;122;Amurs1;24;92;2;3;92;7;90;17.5;0;0;1.1;9.52;16.6;12.2;0;0;21;1.327;0.436;Natural;Native.forest;1;0;1;1
26;116;Vaid19;26;97;2;3;97;43;70;6.4;24.5;0;4.7;13.79;1.7;2;0;0;29;1.857;0.551;Natural;Native.forest;1;0;1;1
27;98;Lan-70;27;98;2;2;98;50;80;0;0;0;0;0;0;0;0;0;13;0.575;0.224;Natural;Native.forest;1;0;1;1
28;107;V30;28;63;2;5;63;90;60;1.3;35;0;0.5;7.69;0.8;0.6;0;0;13;0.485;0.189;Natural;Native.forest;1;0;1;1
29;102;Vos-3;29;52;2;2;52;90;50;5.7;30.4;0.3;2.3;7.69;3.2;1.3;0;0;26;1.825;0.56;Natural;Native.forest;1;0;1;1
30;104;V-24;30;20;2;4;20;42;60;30.9;5.6;0;30.6;23.08;0.5;0;0;0;13;1.099;0.429;Natural;Native.forest;1;0;1;1
31;106;V-27;31;134;2;2;134;15;75;5.1;10.5;0;1.8;13.64;3.4;2.3;0;0;22;1.789;0.579;Natural;Native.forest;1;0;1;1
32;108;V43;32;51;2;4;51;10;80;8.7;41.2;0;6.9;13.33;2;1.3;0;0;30;1.699;0.5;Natural;Native.forest;1;0;1;1
33;103;V-21;33;82;2;2;82;90;70;5.2;0.6;0;4.1;15.79;1.2;1;0;0;19;2.132;0.724;Natural;Native.forest;1;0;1;1
34;97;B-5;34;18;2;2;18;6;75;46.6;6.4;0.3;8.8;12.5;41.3;10.9;0;0;24;2.337;0.735;Natural;Native.forest;1;0;1;1
35;126;S9;35;132;2;2;132;20;60;7.6;3.6;0;2.3;6.9;5.4;6.9;0;0;29;2.409;0.715;Natural;Native.forest;1;0;1;1
37;100;Vos-1;37;34;2;4;34;10;75;8.7;1.5;0;4.5;12.5;4.4;2;0;0;24;2.002;0.63;Natural;Native.forest;1;0;1;1
38;105;V-25;38;38;2;4;38;17;50;43;1.5;0;3.5;11.76;41;40.3;0;0;17;1.303;0.46;Natural;Native.forest;1;0;1;1
46;118;Vaid28;46;71;2;5;71;63;90;3.9;0;0;3.5;27.27;0.4;0.1;0;0;11;1.645;0.686;Natural;Native.forest;1;0;1;1
47;101;Vos-2;47;43;2;4;43;37;80;11.3;2;0;1.2;14.29;10.2;10.1;0;0;21;1.446;0.475;Natural;Native.forest;1;0;1;1
48;120;S5;48;69;2;5;69;90;70;6;0;0;6;28.57;0;0;0;0;7;0.811;0.417;Natural;Native.forest;1;0;1;1
49;115;Vaida9;49;54;2;4;54;92;90;11.3;6;0.3;1.7;11.76;9.5;5.3;0;0;34;2.856;0.81;Natural;Native.forest;1;0;1;1
50;111;TunSvb;50;60;2;4;60;36;70;7.8;5;0;2;26.67;6;1;0;0;15;1.615;0.596;Natural;Native.forest;1;0;1;1
51;96;B-4;51;55;2;4;55;10;85;37.9;30.7;0;28.7;15;12.9;10.3;0;0;20;1.957;0.653;Natural;Native.forest;1;0;1;1
52;109;TunRys;52;66;2;5;66;1;70;7.4;3;0;1.5;14.29;6;5.1;0;0;14;1.765;0.669;Natural;Native.forest;1;0;1;1
53;114;Vaida7;53;42;2;4;42;2;90;11.3;11.8;0;1.2;18.75;10.2;10;0;0;16;1.598;0.576;Natural;Native.forest;1;0;1;1
54;113;Vaida3;54;46;2;4;46;14;90;11.8;0.6;0;2;16.67;10;10;0;0;12;1.516;0.61;Natural;Native.forest;1;0;1;1
55;117;Vaid20;55;44;2;5;44;24;60;11.8;41.5;0;2;9.09;10;19;0;0;11;1.526;0.636;Natural;Native.forest;1;0;1;1
56;112;Tun4;56;40;2;5;40;10;80;10.3;44;0;0.5;10;9.8;8.9;0;0;10;1.439;0.625;Natural;Native.forest;1;0;1;1
88;125;Ozer2;88;67;3;5;67;70;80;1;0;0;0.8;18.18;0.2;0.1;0;0;11;1.547;0.645;Natural;Native.forest;1;0;1;1
127;124;Ozer1;127;122;4;6;122;18;35;70.2;20;0;0.5;8.33;70;70.2;0;0;12;0.663;0.267;Natural;Native.forest;1;0;1;1
132;149;16;132;83;4;2;83;0;90;50.8;5;0;34.4;13.33;25;0;0;0;30;2.125;0.625;Natural;Native.forest;1;0;1;1
133;150;17;133;104;4;3;104;5;80;64.3;0;0;0.4;20.69;64.1;68;0;0;29;1.366;0.406;Natural;Native.forest;1;0;1;1
134;151;18;134;103;4;3;103;60;80;34.3;20;0;7.7;15;28.8;34.1;0;0;40;2.449;0.664;Natural;Native.forest;1;0;1;1
135;134;1;135;135;5;3;135;3;70;7.7;31.6;0;1.7;11.43;6.1;0.6;0;0;35;1.651;0.464;Plantation;Larch;2;3;0;2
136;135;2;136;136;5;3;136;2;60;10.8;2.6;0;3.9;13.33;7.2;0;0;0;30;1.223;0.359;Plantation;Larch;2;3;0;2
137;136;3;137;137;5;3;137;3;60;17.1;32.8;0;6.7;13.79;11.2;0;0;0;29;2.015;0.598;Plantation;Larch;2;3;0;2
138;137;4;138;138;5;3;138;2;40;6.3;6.7;0;1.6;11.11;4.8;2.1;0;0;27;1.769;0.537;Plantation;Scotch.pine;2;4;0;2
139;138;5;139;139;5;3;139;0;40;9.9;0.8;0;4.2;17.39;5.9;0.4;0;0;23;2.28;0.727;Plantation;Scotch.pine;2;4;0;2
140;139;6;140;140;5;3;140;0;60;3.8;0.6;0;1.6;16;2.3;0.6;0;0;25;1.376;0.427;Plantation;Scotch.pine;2;4;0;2
141;140;7;141;141;5;2;141;4;70;6.8;26.2;0;3;8.7;3.9;3;0;0;23;1.615;0.515;Plantation;Fir;2;2;0;2
142;141;8;142;142;5;2;142;3;80;3.5;0.7;0.3;1;5.26;2.2;1.8;0;0;19;2.628;0.892;Plantation;Spruce;2;17;0;2
143;142;9;143;143;5;2;143;70;80;1.1;2.6;0;0;0;1.1;0.3;0;0;11;1.978;0.825;Plantation;Fir;2;2;0;2
144;143;10;144;144;5;3;144;1;70;4.6;0.4;0.5;2.8;10.71;1.4;0.3;0.3;0;28;2.348;0.705;Plantation;Scotch.pine;2;4;0;2
145;144;11;145;145;5;3;145;0;70;2.4;0;0;2.1;22.22;0.3;0;0.1;0;18;1.829;0.633;Plantation;Scotch.pine;2;4;0;2
146;145;12;146;146;5;3;146;0;70;2.1;0.5;0;1.6;15.79;0.5;0;0.6;0;19;2.215;0.752;Plantation;Scotch.pine;2;4;0;2
147;146;13;147;147;5;3;147;1;80;5.9;0;0;0.3;9.09;5.6;0;0;30;11;1.008;0.421;Plantation;Larch;2;3;0;2
148;147;14;148;148;5;3;148;3;80;7.8;0;0;0.8;8.7;7.1;0;0;0;23;1.859;0.593;Plantation;Larch;2;3;0;2
149;148;15;149;149;5;3;149;0;80;1.1;0.3;0;0.5;10;0.6;0;0;50;10;0.349;0.152;Plantation;Larch;2;3;0;2
150;152;19;150;150;5;3;150;0;70;16.8;1.4;0;6.4;11.43;11.2;0.3;0;15;35;2.435;0.685;Plantation;Larch;2;3;0;2
151;153;20;151;151;5;3;151;0;40;6.3;5;0;0.6;9.09;5.8;0;0;0;22;1.745;0.565;Plantation;Larch;2;3;0;2
152;154;21;152;152;5;3;152;0;70;7.6;1;0;2.8;19.05;5;1;0;70;21;1.134;0.373;Plantation;Larch;2;3;0;2
153;155;22;153;153;5;1;153;0;80;5.2;0;0;5.2;60;0;0;0;50;5;0.429;0.267;Plantation;Korean.pine;2;15;0;2
154;156;23;154;154;5;1;154;0;80;4.4;0;0;4.4;66.67;0;0;0;60;6;0.508;0.284;Plantation;Korean.pine;2;15;0;2
155;157;24;155;155;5;1;155;0;80;3.9;0;0;3.9;66.67;0;0;0;40;6;0.472;0.263;Plantation;Korean.pine;2;15;0;2
156;158;25;156;156;5;1;156;0;60;1.5;2;0;1.5;25;0;0;0;80;8;0.392;0.188;Plantation;Larch;2;3;0;2
157;159;26;157;157;5;1;157;0;40;1.8;0.3;0;1.8;37.5;0;0;0;80;8;0.299;0.144;Plantation;Larch;2;3;0;2
158;160;27;158;158;5;1;158;0;70;3.5;0.3;0;3;11.11;0.5;0;0;80;9;0.587;0.267;Plantation;Larch;2;3;0;2
159;161;28;159;159;5;2;159;30;90;0.8;22.1;0.1;0.3;6.67;0.4;0;0;0;15;1.065;0.393;Plantation;Fir;2;2;0;2
160;162;29;160;160;5;2;160;5;100;0.9;15.6;0.3;0.3;8.33;0.3;0;0;0;12;1.449;0.583;Plantation;Fir;2;2;0;2
161;163;30;161;161;5;2;161;20;90;4.2;1.8;0.3;2;17.65;2;0;0;0;17;2.037;0.719;Plantation;Fir;2;2;0;2
162;164;31;162;162;5;2;162;2;90;1.3;2;0;1.3;15.38;0;0;0;2;13;2.033;0.793;Plantation;Spruce;2;17;0;2
163;165;32;163;163;5;3;163;0;40;7.9;3;0.3;3.9;19.35;3.9;0;0.1;0;31;2.352;0.685;Plantation;Scotch.pine;2;4;0;2
164;166;33;164;164;5;3;164;0;40;6.2;1;3;1.1;16.67;2.2;0;0.2;0;30;2.129;0.626;Plantation;Scotch.pine;2;4;0;2
165;167;34;165;165;5;3;165;0;40;8.5;3.3;3.3;4.1;9.38;1.4;0.3;0.1;0;32;2.51;0.724;Plantation;Scotch.pine;2;4;0;2
166;168;35;166;166;5;3;166;1;40;26;25.5;0;20.9;10.81;6.4;0.6;0;0;37;2.283;0.632;Plantation;Larch;2;3;0;2
167;169;36;167;167;5;3;167;1;50;20.3;1.6;0;12.1;10.34;9.3;5.3;0;0;29;2.09;0.621;Plantation;Larch;2;3;0;2
168;170;37;168;168;5;3;168;2;50;20.6;0.9;0;3.8;10.34;17.5;13.2;0;0;29;1.709;0.508;Plantation;Larch;2;3;0;2
169;171;38;169;169;5;3;169;1;40;10.8;6.4;0.3;8.1;13.79;2.7;1.3;0.3;0;29;2.562;0.761;Plantation;Scotch.pine;2;4;0;2
170;172;39;170;170;5;2;170;0;70;8;0.6;0.3;6.2;10;1.6;0.3;0;0;30;1.504;0.442;Plantation;Larch;2;3;0;2
171;173;40;171;171;5;2;171;0;80;9.6;6.8;0;6.7;11.11;3.1;0;0;0;36;1.643;0.459;Plantation;Larch;2;3;0;2
172;174;41;172;172;5;2;172;0;80;9.8;1.5;0.3;8.2;12.12;1.4;0.3;0;0;33;1.384;0.396;Plantation;Larch;2;3;0;2
173;175;42;173;173;5;2;173;0;40;20.6;22.2;9.8;0.6;5;11.5;0;0;0;40;2.076;0.563;Plantation;Larch;2;3;0;2
174;176;43;174;174;5;2;174;0;60;2.8;5.2;2.1;0;0;0.7;0;0.1;0;28;0.732;0.22;Plantation;Larch;2;3;0;2
175;177;44;175;175;5;2;175;0;60;6.7;45.3;5;0.4;9.52;1.4;0;0;0;21;1.626;0.534;Plantation;Larch;2;3;0;2
176;178;45;176;176;5;2;176;0;30;6.5;37.5;0.5;2.3;6.25;3.8;0.3;0;0;32;1.935;0.558;Plantation;Scotch.pine;2;4;0;2
177;179;46;177;177;5;2;177;0;30;5.3;40.5;0.5;0.8;6.25;4;0.3;0;0;32;1.82;0.525;Plantation;Scotch.pine;2;4;0;2
178;180;47;178;178;5;2;178;6;80;9.4;6.9;0.6;6;7.5;3;1.2;0;0;40;2.88;0.781;Plantation;Fir;2;2;0;2
179;181;48;179;179;5;2;179;10;80;10.5;33.8;1;5;2.78;4.8;1.3;0;0;36;2.21;0.617;Plantation;Fir;2;2;0;2
180;182;49;180;180;5;2;180;4;80;2.8;64.7;0.5;2;3.57;0.3;0;0;0;28;1.394;0.418;Plantation;Fir;2;2;0;2
181;183;50;181;181;5;2;181;0;70;2.7;3.5;0.3;0.6;11.11;1.8;1;0;0;18;0.948;0.328;Plantation;Larch;2;3;0;2
182;184;51;182;182;5;2;182;15;80;2;44.3;0.3;0.1;3.85;1.6;1.3;0;0;26;1.491;0.458;Plantation;Spruce;2;17;0;2
183;185;52;183;183;5;2;183;12;60;9.5;3;0;6.7;14.81;3;6.2;0;0;27;1.261;0.383;Plantation;Scotch.pine;2;4;0;2
184;186;53;184;184;5;2;184;2;70;12.4;0.8;0;7.6;14.29;5.2;0.3;0.3;0;28;2.106;0.632;Plantation;Larch;2;3;0;2
185;187;54;185;185;5;1;185;2;90;25;0.3;0.3;24.8;18.18;0;0;0;80;11;0.779;0.325;Plantation;Larch;2;3;0;2
186;188;55;186;186;5;1;186;0;70;17;0;5.3;2;12.5;10.6;0;0;90;16;0.88;0.317;Plantation;Larch;2;3;0;2
187;189;56;187;187;5;2;187;0;90;35.2;1.9;7.6;16.9;10;15.6;0;0;0;50;2.384;0.609;Plantation;Fir;2;2;0;2
188;190;57;188;188;5;2;188;0;70;51.3;11.1;22.6;10;10.53;30.1;0;0;0;38;2.296;0.631;Plantation;Larch;2;3;0;2
189;191;58;189;189;5;2;189;3;90;6.7;0.6;0.6;3.1;8.89;3.2;0;0.1;5;45;1.775;0.466;Plantation;Spruce;2;17;0;2
190;192;59;190;190;5;1;190;0;70;4.5;2.1;1;0.3;5;3.3;0;0;40;20;1.066;0.356;Plantation;Korean.pine;2;15;0;2
191;193;60;191;191;5;3;191;0;40;7.2;15;0;5.5;10;1.8;0.8;0;0;20;1.377;0.46;Plantation;Scotch.pine;2;4;0;2
192;194;61;192;192;5;3;192;0;30;26.1;15;0;7.2;11.11;20.4;2.6;0;15;27;2.155;0.654;Plantation;Scotch.pine;2;4;0;2
193;195;62;193;193;5;3;193;1;60;54.2;3.5;40.4;12.1;10.87;12.6;6.2;0.3;0;46;2.612;0.682;Plantation;Scotch.pine;2;4;0;2
194;196;63;194;194;5;2;194;0;70;12.5;52.5;5;4;11.11;4.1;0;0;0;18;1.99;0.688;Plantation;Larch;2;3;0;2
195;197;64;195;195;5;1;195;0;90;5.2;3;5.1;0;0;0.1;0;0;90;10;0.479;0.208;Plantation;Spruce;2;17;0;2
196;198;65;196;196;5;1;196;0;90;0;0;0;0;0;0;0;0;97;3;0.016;0.015;Plantation;Spruce;2;17;0;2
197;199;66;197;197;5;1;197;0;90;10.9;0;0;10.9;50;0;0;0;97;4;0.367;0.265;Plantation;Spruce;2;17;0;2
198;200;67;198;198;5;1;198;2;90;34.7;0;1;34;33.33;0;0;0;70;3;0.68;0.619;Plantation;Spruce;2;17;0;2
199;201;68;199;199;5;1;199;40;80;7.2;0.3;3.1;3.3;20;1;1;0;50;10;0.62;0.269;Plantation;Spruce;2;17;0;2
