Chenopodium_album;Puccinellia_distans;Lepidium_ruderale;Agrostis_gigantea;Bryum_species;Agrostis_scabra;Equisetum_arvense;Anaphalis_margaritacea;Aster_glehnii;Petasites_amplus;Salix_caprea;Rubus_sachalinensis;Senecio_cannabifolius;Picris_japonica;Phleum_pratense;Epilobium_maximowiczii;Sonchus_arvensis;Aster_novi-belgii;Artemisia_montana;Phragmites_australis;Taraxacum_officinale;Tussilago_farfara;Phalacroloma_strigosum;Hordeum_jubatum;Cirsium_vulgare;Plantago_asiatica;Salix_udensis;Poa_palustris;Reynoutria_sachalinensis;Solidago_decurrens;Betula_platyphylla;Abies_sachalinensis;Betula_ermanii;Rumex_pseudonatronatus;Ceratodon_purpureus;Rumex_aquaticus;Beckmannia_syzigachne;Atriplex_patens;Cirsium_kamtschaticum;Tripleurospermum_perforatum;Festuca_arundinacea;Platanthera_camtschatica;Symphyotrichum_ciliatum;Amoria_repens;Conyza_canadensis;Typha_angustifolia;Calamagrostis_langsdorffii;Geum_macrophyllum;Hieracium_aurantiacum;Sambucus_racemosa;Conocephalum_conicum;Dactylorhiza_aristata;Stellaria_fenzlii;Poa_pratensis;Plagiomnium_species;Juncus_species;Epipactis_papillosa;Cerastium_purpurascens;Botrychium_robustum;Poa_angustifolia;Trifolium_pratense;Salix_schwerinii;Agrimonia_viscidula;Cerastium_holosteoides;Dactylis_glomerata;Platanthera_sachalinensis;Spiranthes_sinensis;Pellia_species
30;15;10;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;1;0;3;0.3;0;0;0;0;0.3;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;5;5;0.1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0.3;0.3;1;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;1;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;15;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0.5;0.3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;7;0;0;0;0;0;0.5;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;20;1;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0.3;0;0;1;0.5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;1;0;0.1;0.5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0.3;0.3;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0.5;0.5;1;0;0;1;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0.1;5;0.3;0.1;0.1;0.3;5;0;0.3;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
